,id,mol_weight,formula,P,O,I,H,Se,Mo,X,Mg,Br,As,F,R,N,C,Zn,S,Cl,Co,polymer
3338,C21617,134.0874,C4H6O5,0,5,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
3339,C03351,124.1372,C7H8O2,0,2,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
3340,C06451,126.0483,C2H7O4P,1,4,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3341,C04108,330.4611,C21H30O3,0,3,0,30,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
3342,C05485,332.477,C21H32O3,0,3,0,32,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
3343,C18040,332.477,C21H32O3,0,3,0,32,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
3344,C18314,200.1455,C8H8O6,0,6,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
3345,C04783,200.1455,C8H8O6,0,6,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
3346,C03817,156.1393,C6H8N2O3,0,3,0,8,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0
3347,C04118,341.4009,C20H23NO4,0,4,0,23,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0
3348,C04405,867.6499,C26H44N7O18P3S,3,18,0,44,0,0,0,0,0,0,0,0,7,26,0,1,0,0,0
3349,C03494,202.0997,C4H11O7P,1,7,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
3350,C18933,245.875,C6Cl4O2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0
3351,C03894,156.0743,C3H9O5P,1,5,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
3352,C04522,176.5545,C6H5ClO4,0,4,0,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
3353,C05375,186.1189,C7H6O6,0,6,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
3354,C18041,318.4935,C21H34O2,0,2,0,34,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
3355,C04404,144.1684,C7H12O3,0,3,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
3356,C20781,160.1247,C6H8O5,0,5,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
3357,C04445,145.1796,C5H7NO2S,0,2,0,7,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0
3358,C04625,210.9996,C6H4Cl2O4,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0
3359,C04561,208.2536,C12H16O3,0,3,0,16,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
3360,C11588,184.1892,C9H12O4,0,4,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
